timestamp,heartrate,spO2,gyroX,gyroY,gyroZ,acceX,acceY,acceZ,longitude,latitude
2025-07-03-11-04-42,120.0,100.0,0.09,0.05,0.04,0.09,0.05,0.04,109.34679,-0.059266
2025-07-03-11-04-42,100.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,108.34679,-0.059266
2025-07-03-11-04-42,95.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-03-11-04-42,97.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-03-11-04-42,97.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-03-11-04-42-ESP,97.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-03-11-04-42-ESP,97.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-03-11-04-42-ESP,97.0,90.0,0.09,0.05,0.04,0.09,0.05,0.04,109.3483666344146,-0.055556012407019816
2025-07-07-14-00-00-esp2,93.3,97.0,0.09,0.05,0.04,0.09,0.05,0.04,110.12,-7.12
2025-07-07-14-00-00-esp2,93.3,97.0,0.09,0.05,0.04,0.09,0.05,0.04,110.12,-7.12
2025-07-07-14-00-00,93.3,97.0,0.09,0.05,0.04,0.09,0.05,0.04,110.12,-7.12
